order_id,order_date,customer_segment,city,category,quantity,unit_price,discount_pct,payment_status
RT-1001,2026-01-03,Student,Chennai,Learning Kit,2,799,10,Paid
RT-1002,03/01/2026,Fresher,Bengaluru,Course Access,1,1499,0,paid
RT-1003,2026-01-05,student,Chennai,Course Access,1,1499,,Pending
RT-1004,2026-01-07,Professional,Hyderabad,Learning Kit,3,799,5,Paid
RT-1004,2026-01-07,Professional,Hyderabad,Learning Kit,3,799,5,Paid
RT-1005,2026-01-09,Fresher,,Mentor Session,1,999,0,Failed
RT-1006,2026-13-10,Student,Pune,Learning Kit,-1,799,10,Paid
RT-1007,2026-01-12,Professional,Mumbai,Mentor Session,2,999,105,Paid
RT-1008,2026-01-14,Fresher,Bengaluru,Course Access,two,1499,0,Pending
RT-1009,2026-01-16,Student,Chennai,Learning Kit,1,799,0,Paid
RT-1010,2026-01-18,Professional,Delhi,Course Access,2,1499,15,Refunded
RT-1011,,Student,Kochi,Mentor Session,1,999,0,Paid
